nome,preco,avaliacao,categoria
Celular Smartphone Realme Note 60 Dual Sim 128gb 4gb Ram,1010.25,,celular
Xiaomi Poco C75 Dual Sim 256gb 8gb Ram - Capa +pelicula+fone,1510.99,,celular
Smartphone Motorola Moto G15 - 128gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc Azul Escuro,1099.8,,celular
"Celular Samsung Galaxy A16, 256gb + 8gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Preto",1855.94,,celular
Celular Samsung Galaxy S24 Fe 5g 128gb 8gb Ram Tela 6.7 Galaxy Ai,4070.94,,celular
"Smartphone Samsung Galaxy A06 4G 128GB 4GB RAM Dual Chip Câmera Traseira 50+2MP Frontal 8MP Tela 6,7"" Android 14.0 Azul Escuro",899.5,,celular
"Smartphone Motorola Moto g35 5G - 128GB 12GB (4GB RAM+8GB Ram Boost) e Camera 50MP com AI NFC Tela 6.7"" com Superbrilho - Verde - Vegan Leather",1427.15,,celular
"Smartphone Motorola Moto g05 - 128GB 12GB (4GB RAM + 8GB Ram Boost) e Camera 50MP com AI Bateria de 5200 mAh Tela 6.7"" com Superbrilho - Cinza",1138.9,,celular
"Celular Samsung Galaxy A26 5g 256gb, 8gb Ram, Câmera De 50mp, Ip67, Tela Super Amoled 6.7 , Nfc - Preto",1945.28,,celular
Smartphone Motorola Edge 50 Neo 5g - 256gb 16gb (8gb Ram+8gb Ram Boost) 50mp Sony Camera Moto Ai Ultrarresistencia Militar - Mocha Mousse,2091.0,,celular
Celular Samsung Galaxy A56 5g 256gb 8gb Ram Preto,3499.9,,celular
Motorola Moto G84 5G 256 GB Viva Magenta 8 GB RAM + 8 GB RAM Boost,2199.0,,celular
Samsung Galaxy A55 5G Dual SIM 256 GB Azul escuro 8 GB RAM,2999.61,,celular
Smartphone Samsung Galaxy A36 5G 128GB 6GB RAM Recursos AI,2355.5,,celular
